case,case_label,fraction,cost_mean,cost_p10,cost_p50,cost_p90,risk_months_mean,risk_months_p10,risk_months_p50,risk_months_p90
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,1.0,1225519189.383141,1225510689.383141,1225510689.383141,1225517689.383141,29.905570630133163,27.771058004038057,29.88297577577027,32.161419572664094
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.8,1174793312.1145997,1174781312.1145992,1174781312.1145992,1174793312.1145992,28.18823200966052,25.376435070111015,28.14318678243606,31.02331140950796
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.6,1124607780.7809434,1124590280.780943,1124590280.780943,1124613280.780943,26.105240958154212,22.97212522458692,26.113422578641803,29.382501605089352
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.4,1074502193.9972143,1074470193.997214,1074480193.997214,1074514193.997214,23.870330839376578,20.636033992493637,23.747467799782065,27.78427434906801
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.2,1020504580.3132312,1020425580.313231,1020495580.313231,1020581580.313231,21.500443077827704,18.134048692716163,21.22081982374244,25.98849181364803
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.01,957167931.3787692,957022431.378769,957178431.378769,957297431.378769,19.3073202489685,15.897170076081954,19.078234265767012,23.701707665677468
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,1.0,1280662171.0134554,1280659171.0134556,1280659171.0134556,1280661171.0134556,33.878710197812794,31.89994224782885,33.87336751723005,35.941885691703064
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.8,1223987908.7854054,1223978908.7854056,1223978908.7854056,1223985908.7854056,31.819831660766607,29.444218179209024,31.772982317388482,34.40963828183581
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.6,1167453618.991661,1167439618.991661,1167439618.991661,1167452618.991661,29.495743476739392,26.305103824262886,29.40880797800067,32.81016098270799
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.4,1102577970.1674817,1102553470.167482,1102553470.167482,1102586470.167482,26.685783441297854,23.085305769175832,26.4814189625677,30.86792876148849
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.2,1055213088.0123287,1055145588.0123286,1055195588.0123286,1055265588.0123286,23.66737285155257,20.03328815161969,23.411850182809232,28.480237729975265
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.01,979599219.006321,979454219.006321,979615219.006321,979729219.006321,20.806105319305757,17.132008290807242,20.56764170643651,25.542829501716156
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,1.0,1393146343.7502058,1393146343.7502058,1393146343.7502058,1393146343.7502058,36.79575773530182,34.95991780606276,36.88363859821287,38.52732307553396
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,0.8,1323430435.5399919,1323424435.5399916,1323424435.5399916,1323429435.5399916,34.52338664471336,32.16902540262,34.47489744573073,36.93648908105684
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,0.6,1252015067.6691818,1252003067.6691818,1252003067.6691818,1252015067.6691818,31.972025548420152,28.78258982523417,31.92074474164628,35.187734669493274
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,0.4,1190102895.588562,1190081395.588562,1190081395.588562,1190114395.588562,28.769481295398997,24.901880123868242,28.61621275036655,32.87251282829448
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,0.2,1117762706.3347015,1117700706.3347015,1117740706.3347015,1117810706.3347015,25.279358102533035,21.45438366385266,24.973129114878752,30.19445580821372
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,0.01,1045414199.565677,1045269699.565677,1045430699.565677,1045544699.565677,21.939871260396746,18.065226780812967,21.689041229613053,26.93568089433165
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,1.0,1461716769.779448,1461716769.7794476,1461716769.7794476,1461716769.7794476,43.35018893874288,42.61041281069751,43.26362699596704,44.53191579180904
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.8,1383237733.6091893,1383236733.6091895,1383236733.6091895,1383236733.6091895,40.73308945097862,38.38984438933625,40.85118000401485,42.85399373078699
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.6,1302842928.3437274,1302833928.3437274,1302833928.3437274,1302840928.3437274,37.56211430444241,34.75749269845143,37.506663863844395,40.61956478592835
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.4,1223988174.7247665,1223972174.7247667,1223972174.7247667,1223986174.7247667,33.73438083146729,29.81153813830878,33.700499718297486,37.77069431786105
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.2,1153979563.589595,1153930563.5895948,1153955563.5895948,1154021563.5895948,29.118242769791703,24.93748274751826,28.786016819922658,34.49205148013518
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.01,1070283359.3893982,1070140359.3893986,1070291359.3893986,1070407359.3893986,24.618960116280242,20.26964970882991,24.328023538246747,30.211583429452325
basetariff_baseline/6mpd_36vessels,baseline_6mpd_36vessels,1.0,1822231070.1277282,1822231070.127728,1822231070.127728,1822231070.127728,74.18748444626739,73.72803005824063,74.12452876712389,74.69280220244326
basetariff_baseline/6mpd_36vessels,baseline_6mpd_36vessels,0.8,1709425375.2186666,1709425375.2186666,1709425375.2186666,1709425375.2186666,70.79728231444889,69.84085804896091,70.6819439904458,71.90575913768613
basetariff_baseline/6mpd_36vessels,baseline_6mpd_36vessels,0.6,1589836422.008721,1589836422.0087214,1589836422.0087214,1589836422.0087214,65.94044695775341,63.6369908298677,65.95323326848406,68.51357564988182
basetariff_baseline/6mpd_36vessels,baseline_6mpd_36vessels,0.4,1480682732.5531611,1480673732.5531611,1480673732.5531611,1480680732.5531611,58.784879061189166,54.39563354150665,58.698098870435686,63.569802916459665
basetariff_baseline/6mpd_36vessels,baseline_6mpd_36vessels,0.2,1362623232.8583336,1362598732.8583336,1362598732.8583336,1362631732.8583336,49.300262685902815,42.6487839993409,48.922510179158145,57.0269978914761
basetariff_baseline/6mpd_36vessels,baseline_6mpd_36vessels,0.01,1218978102.9559774,1218830602.9559772,1218985602.9559772,1219103602.9559772,38.70687480468561,31.862367965152107,38.24903160738313,47.46066033962753
basetariff_baseline/8mpd_36vessels,baseline_8mpd_36vessels,1.0,2183705402.793672,2183705402.7936726,2183705402.7936726,2183705402.7936726,177.66267524976948,177.38469084782895,177.67091076436338,177.9518639366256
basetariff_baseline/8mpd_36vessels,baseline_8mpd_36vessels,0.8,2030195955.6702633,2030195955.6702628,2030195955.6702628,2030195955.6702628,172.62125522500108,171.55257294614285,172.73107077377853,173.4542705774315
basetariff_baseline/8mpd_36vessels,baseline_8mpd_36vessels,0.6,1882100803.8580918,1882100803.8580914,1882100803.8580914,1882100803.8580914,162.71706180303352,160.5190956537026,162.45144079325362,165.26506492809614
basetariff_baseline/8mpd_36vessels,baseline_8mpd_36vessels,0.4,1729656156.4905612,1729655156.4905612,1729655156.4905612,1729655156.4905612,146.51330037492627,138.08530225719682,146.93829608319564,154.1427944155693
basetariff_baseline/8mpd_36vessels,baseline_8mpd_36vessels,0.2,1575135897.0413604,1575119897.0413609,1575119897.0413609,1575133897.0413609,121.33983575530104,107.2289725408305,121.21806002542712,135.85904683639734
basetariff_baseline/8mpd_36vessels,baseline_8mpd_36vessels,0.01,1379359191.1420121,1379214691.1420116,1379369691.1420116,1379485691.1420116,89.36878839248875,73.54066891790438,88.0246557479216,109.64092507854782
basetariff_flexible/3mpd_30vessels,flexible_3mpd_30vessels,1.0,1203723754.3371315,1203715254.3371315,1203715254.3371315,1203722254.3371315,29.903587961950688,27.768096401462493,29.881211215491852,32.15942780593526
basetariff_flexible/3mpd_30vessels,flexible_3mpd_30vessels,0.8,1130484207.6498199,1130472207.6498203,1130472207.6498203,1130484207.6498203,28.186558519982935,25.37459050779448,28.14120059734995,31.02158347199604
basetariff_flexible/3mpd_30vessels,flexible_3mpd_30vessels,0.6,1086552461.215504,1086534961.215504,1086534961.215504,1086557961.215504,26.10350368795722,22.970518677077703,26.111397247507576,29.381097472692367
basetariff_flexible/3mpd_30vessels,flexible_3mpd_30vessels,0.4,1044788028.9081609,1044756028.908161,1044766028.908161,1044800028.908161,23.868900653848364,20.63472396176311,23.74600217452724,27.782973916550567
basetariff_flexible/3mpd_30vessels,flexible_3mpd_30vessels,0.2,1005535503.9575201,1005456503.9575202,1005526503.9575202,1005612503.9575202,21.499362841980894,18.13308730444246,21.219771744621106,25.987149337158055
basetariff_flexible/3mpd_30vessels,flexible_3mpd_30vessels,0.01,970118349.0098263,969972849.0098262,970128849.0098262,970247849.0098262,19.30657801235329,15.896558841670176,19.07749783803923,23.700796944764672
basetariff_flexible/3mpd_36vessels,flexible_3mpd_36vessels,1.0,1256173982.2581525,1256170982.2581525,1256170982.2581525,1256172982.2581525,33.87607343434202,31.89728423662051,33.87090164183064,35.939661750291
basetariff_flexible/3mpd_36vessels,flexible_3mpd_36vessels,0.8,1174593640.1396098,1174584640.1396096,1174584640.1396096,1174591640.1396096,31.817295246489216,29.44139141457955,31.77021469580545,34.407346185108814
basetariff_flexible/3mpd_36vessels,flexible_3mpd_36vessels,0.6,1126853204.452106,1126839204.452106,1126839204.452106,1126852204.452106,29.493405669779737,26.302719029030314,29.406553342468435,32.8080128579369
basetariff_flexible/3mpd_36vessels,flexible_3mpd_36vessels,0.4,1077059521.6606522,1077035021.6606522,1077035021.6606522,1077068021.6606522,26.683833551928142,23.083794578408863,26.47927676024809,30.866176878442868
basetariff_flexible/3mpd_36vessels,flexible_3mpd_36vessels,0.2,1033432478.4671682,1033364978.4671686,1033414978.4671686,1033484978.4671686,23.66589638948566,20.0320162523216,23.410415579861905,28.478666702521256
basetariff_flexible/3mpd_36vessels,flexible_3mpd_36vessels,0.01,993253035.0904248,993108035.0904248,993269035.0904248,993383035.0904248,20.80540042586073,17.131158360234224,20.566617572622857,25.541560963145074
basetariff_flexible/4mpd_30vessels,flexible_4mpd_30vessels,1.0,1357475467.8858569,1357475467.8858569,1357475467.8858569,1357475467.8858569,36.79427422001482,34.957386708517404,36.882322098114045,38.526054260046045
basetariff_flexible/4mpd_30vessels,flexible_4mpd_30vessels,0.8,1266037931.82283,1266031931.82283,1266031931.82283,1266036931.82283,34.52193256367981,32.167278204545745,34.4734711127551,36.93442629260198
basetariff_flexible/4mpd_30vessels,flexible_4mpd_30vessels,0.6,1206093000.777454,1206081000.777454,1206081000.777454,1206093000.777454,31.97083800530674,28.78133994260228,31.919390404999742,35.18648859342514
basetariff_flexible/4mpd_30vessels,flexible_4mpd_30vessels,0.4,1149906376.729423,1149884876.729423,1149884876.729423,1149917876.729423,28.76833921168667,24.9006719222704,28.61505321090956,32.87151554343677
basetariff_flexible/4mpd_30vessels,flexible_4mpd_30vessels,0.2,1098208647.704898,1098146647.7048979,1098186647.7048979,1098256647.7048979,25.27847369986612,21.45355857610503,24.972295936830754,30.19348807395768
basetariff_flexible/4mpd_30vessels,flexible_4mpd_30vessels,0.01,1052104954.6539081,1051960454.6539083,1052121454.6539083,1052235454.6539083,21.939269614909716,18.06473230599814,21.68844623532938,26.934942876624913
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,1.0,1422003163.1524053,1422003163.1524053,1422003163.1524053,1422003163.1524053,43.348002350570866,42.608354173945415,43.26138798577654,44.52999046336193
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.8,1318774717.3419907,1318773717.3419905,1318773717.3419905,1318773717.3419905,40.73095707076294,38.38798097589493,40.849117691531106,42.85201026931237
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.6,1251540246.2667801,1251531246.26678,1251531246.26678,1251538246.26678,37.56020515209296,34.75545903345433,37.504626727570844,40.617751177148534
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.4,1188762746.2728639,1188746746.2728634,1188746746.2728634,1188760746.2728634,33.732702365279394,29.809818065213094,33.69885333728107,37.769118842068806
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.2,1130121627.8220787,1130072627.8220787,1130097627.8220787,1130163627.8220787,29.116895628110996,24.936264188197672,28.78473367322521,34.49036474472091
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.01,1077827723.8387287,1077684723.8387284,1077835723.8387284,1077951723.8387284,24.618053949956447,20.268904934112317,24.327132411511638,30.21047609405923
basetariff_flexible/6mpd_36vessels,flexible_6mpd_36vessels,1.0,1769850228.1717792,1769850228.1717794,1769850228.1717794,1769850228.1717794,74.18046130528984,73.72089133319267,74.11769274990209,74.68576254291493
basetariff_flexible/6mpd_36vessels,flexible_6mpd_36vessels,0.8,1604075279.225415,1604075279.2254152,1604075279.2254152,1604075279.2254152,70.79058252951363,69.83436566498607,70.67501466353531,71.89912306508839
basetariff_flexible/6mpd_36vessels,flexible_6mpd_36vessels,0.6,1504225557.8181179,1504225557.8181176,1504225557.8181176,1504225557.8181176,65.93392756879851,63.6290041978086,65.94715543411775,68.5071566992832
basetariff_flexible/6mpd_36vessels,flexible_6mpd_36vessels,0.4,1411958728.243611,1411949728.2436113,1411949728.2436113,1411956728.2436113,58.77901683264097,54.38979109089721,58.69204059975597,63.563856227036524
basetariff_flexible/6mpd_36vessels,flexible_6mpd_36vessels,0.2,1324477372.1769745,1324452872.1769743,1324452872.1769743,1324485872.1769743,49.29550074440217,42.64481753002672,48.917604163054065,57.021928364493974
basetariff_flexible/6mpd_36vessels,flexible_6mpd_36vessels,0.01,1247281256.1414762,1247133756.1414762,1247288756.1414762,1247406756.1414762,38.70355038276384,31.859634190645725,38.24575376384119,47.4565862786881
basetariff_flexible/8mpd_36vessels,flexible_8mpd_36vessels,1.0,2115054708.1509373,2115054708.1509368,2115054708.1509368,2115054708.1509368,177.65514166344238,177.37713871705193,177.66340561487888,177.94437704871174
basetariff_flexible/8mpd_36vessels,flexible_8mpd_36vessels,0.8,1895340981.81088,1895340981.8108797,1895340981.8108797,1895340981.8108797,172.61384090900552,171.54506267750102,172.7236660397364,173.44688764229608
basetariff_flexible/8mpd_36vessels,flexible_8mpd_36vessels,0.6,1759152075.4806557,1759152075.4806557,1759152075.4806557,1759152075.4806557,162.71004105461893,160.51220513174687,162.4444117640267,165.25798838898191
basetariff_flexible/8mpd_36vessels,flexible_8mpd_36vessels,0.4,1633138700.5316892,1633137700.5316892,1633137700.5316892,1633137700.5316892,146.50682118638585,138.07927603495585,146.93183788579893,154.13612292724136
basetariff_flexible/8mpd_36vessels,flexible_8mpd_36vessels,0.2,1519919929.1969533,1519903929.1969533,1519903929.1969533,1519917929.1969533,121.33451676516147,107.22413611080586,121.21276383203816,135.8532658819908
basetariff_flexible/8mpd_36vessels,flexible_8mpd_36vessels,0.01,1416769482.4668565,1416624982.4668562,1416779982.4668562,1416895982.4668562,89.36504869164557,73.53759218959837,88.02096871229807,109.63634013765098
